name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density
abalone,'Length',4177,0.5071,0.0631,0.13,0.815,0.5253,0.545,0.1202,-0.6484,0.063,0.08,0.165,0.8971,0.9872,0.743,0.9068,0.8963,0.9827,4.5052,0.0052
abalone,'Length',4177,0.4554,0.0563,0.13,0.78,0.5236,0.545,0.1201,-0.6643,0.0396,0.08,0.165,0.8825,0.9878,0.7324,0.9072,0.8852,0.9833,4.499,0.0058
abalone,'Length',4177,0.4032,0.0521,0.075,0.815,0.5235,0.545,0.1212,-0.6195,0.0027,0.08,0.165,0.7931,0.9863,0.7432,0.9081,0.8945,0.9832,4.5193,0.0057
abalone,'Length',4177,0.3582,0.0489,0.075,0.815,0.5239,0.545,0.12,-0.6464,0.1352,0.08,0.16,0.8008,0.9859,0.7344,0.9048,0.887,0.9819,4.5072,0.0056
abalone,'Length',4177,0.3062,0.0452,0.075,0.815,0.5224,0.54,0.1209,-0.6128,0.0257,0.08,0.165,0.8016,0.9867,0.7348,0.9104,0.889,0.9841,4.5181,0.0056
abalone,'Length',4177,0.2509,0.0419,0.075,0.8,0.5218,0.54,0.1198,-0.637,0.0411,0.08,0.165,0.8036,0.9866,0.7318,0.9085,0.8864,0.9833,4.508,0.0056
abalone,'Length',4177,0.2042,0.0397,0.075,0.815,0.524,0.545,0.1196,-0.6337,0.047,0.08,0.165,0.8107,0.9867,0.7339,0.908,0.8881,0.9834,4.5062,0.0056
abalone,'Length',4177,0.1434,0.0366,0.075,0.815,0.5242,0.545,0.1199,-0.6539,0.0901,0.08,0.165,0.8154,0.9865,0.7312,0.9066,0.8854,0.9827,4.5096,0.0057
abalone,'Length',4177,0.1013,0.0352,0.075,0.815,0.525,0.545,0.1194,-0.6272,0.042,0.08,0.165,0.8179,0.9866,0.7328,0.9083,0.8868,0.9833,4.5108,0.0056
abalone,'Length',4177,0.0431,0.0335,0.075,0.815,0.524,0.545,0.1199,-0.6423,0.0749,0.08,0.165,0.8238,0.9868,0.734,0.9082,0.8875,0.9834,4.5139,0.0054
abalone,'Shell_weight',4177,0.5071,0.3385,0.0035,1.005,0.2402,0.234,0.1402,0.6231,0.5781,0.101,0.2013,0.8828,0.9546,0.7683,0.8643,0.9211,0.971,5.9741,0.0001
abalone,'Shell_weight',4177,0.4554,0.3108,0.004,0.885,0.2388,0.23,0.1406,0.642,0.5314,0.1,0.1997,0.8729,0.9514,0.7622,0.8599,0.9158,0.9679,5.9786,0.0001
abalone,'Shell_weight',4177,0.4032,0.3012,0.0015,0.897,0.2381,0.235,0.1391,0.5972,0.4209,0.1,0.202,0.7798,0.9569,0.7696,0.8645,0.921,0.9705,6.0311,0.0001
abalone,'Shell_weight',4177,0.3582,0.2917,0.0015,1.005,0.2388,0.2315,0.1391,0.6413,0.595,0.0985,0.1935,0.785,0.9536,0.7611,0.8608,0.915,0.9681,6.036,0.0001
abalone,'Shell_weight',4177,0.3062,0.2812,0.0015,1.005,0.2377,0.23,0.1395,0.6017,0.3734,0.1,0.1991,0.7952,0.9568,0.7683,0.8654,0.9206,0.971,6.0548,0.0001
abalone,'Shell_weight',4177,0.2509,0.2624,0.0015,1.005,0.2367,0.2305,0.1389,0.6707,0.7588,0.0995,0.2,0.794,0.9552,0.7635,0.863,0.9166,0.9696,6.041,0.0001
abalone,'Shell_weight',4177,0.2042,0.2524,0.0015,1.005,0.2385,0.2332,0.1383,0.5908,0.4316,0.0987,0.1976,0.8012,0.9551,0.7628,0.8616,0.9167,0.9693,6.0562,0.0001
abalone,'Shell_weight',4177,0.1434,0.2432,0.0015,1.005,0.2388,0.234,0.1382,0.5904,0.4437,0.099,0.1988,0.806,0.9558,0.7619,0.861,0.9158,0.969,6.0744,0.0001
abalone,'Shell_weight',4177,0.1013,0.2376,0.0015,1.005,0.2399,0.235,0.1392,0.6293,0.554,0.1,0.1989,0.809,0.9549,0.7632,0.8611,0.9167,0.9688,6.0912,0.0001
abalone,'Shell_weight',4177,0.0431,0.2287,0.0015,1.005,0.2387,0.235,0.1389,0.6184,0.5408,0.1,0.197,0.8145,0.9555,0.7638,0.8623,0.9172,0.9694,6.101,0.0001
BachChoralHarmony,V2,5665,0.5063,0.0654,1.0,207.0,52.8777,48.0,36.6187,0.8825,0.6973,25.0,50.0,0.059,0.059,0.0452,0.0452,0.0602,0.0602,4.8524,0.0028
BachChoralHarmony,V2,5665,0.4544,0.0605,1.0,206.0,53.1181,48.0,37.4224,0.9156,0.7786,25.0,51.0,0.096,0.096,0.0612,0.0612,0.0813,0.0813,4.8673,0.0027
BachChoralHarmony,V2,5665,0.4106,0.0587,1.0,207.0,54.1231,48.0,37.2594,0.958,0.9878,25.0,50.0,0.0819,0.0819,0.0603,0.0603,0.0802,0.0802,4.8771,0.0025
BachChoralHarmony,V2,5665,0.3493,0.0534,1.0,207.0,53.6373,48.0,37.1802,0.9426,0.9464,25.0,51.0,0.0791,0.0791,0.052,0.052,0.0693,0.0693,4.875,0.0025
BachChoralHarmony,V2,5665,0.3043,0.05,1.0,207.0,53.5199,48.0,37.6769,0.95,0.8627,25.0,51.0,0.0783,0.0783,0.0518,0.0518,0.0689,0.0689,4.8806,0.0025
BachChoralHarmony,V2,5665,0.2489,0.0465,1.0,207.0,53.388,48.0,37.0321,0.9295,0.8521,25.0,51.0,0.0814,0.0814,0.0603,0.0603,0.0803,0.0803,4.875,0.0024
BachChoralHarmony,V2,5665,0.2014,0.0447,1.0,207.0,53.655,48.0,37.2839,0.9414,0.9089,25.0,51.0,0.0739,0.0739,0.0518,0.0518,0.0689,0.0689,4.8811,0.0024
BachChoralHarmony,V2,5665,0.1578,0.0419,1.0,207.0,53.1453,48.0,36.9539,0.9179,0.8264,25.0,51.0,0.0858,0.0858,0.0578,0.0578,0.077,0.077,4.8748,0.0023
BachChoralHarmony,V2,5665,0.0983,0.0395,1.0,206.0,53.1198,48.0,37.0579,0.9233,0.8527,25.0,51.0,0.0807,0.0807,0.0559,0.0559,0.0745,0.0745,4.8755,0.0024
BachChoralHarmony,V2,5665,0.048,0.0384,1.0,207.0,53.267,48.0,37.2971,0.9362,0.871,25.0,51.0,0.0786,0.0786,0.0535,0.0535,0.0713,0.0713,4.8825,0.0023
bank,duration,3074,0.4993,0.397,4.0,2769.0,269.8363,187.0,263.4745,2.6475,11.1811,96.0,225.0,0.0074,0.0541,0.017,0.0686,0.0249,0.0932,6.1634,0.0002
bank,duration,3074,0.4652,0.3844,4.0,3025.0,280.7427,189.5,291.8085,3.0627,14.9614,100.0,238.0,0.0008,0.0725,0.024,0.0639,0.036,0.0867,6.1868,0.0002
bank,duration,3074,0.404,0.3466,4.0,2029.0,266.9028,188.5,251.2714,2.2341,6.4083,96.5,226.0,0.0111,0.0733,0.02,0.0648,0.0296,0.0875,6.1881,0.0002
bank,duration,3074,0.3562,0.3421,5.0,3025.0,270.7539,189.0,265.3892,2.7731,12.7657,98.0,229.5,0.0039,0.0784,0.0295,0.0885,0.0437,0.1197,6.2301,0.0001
bank,duration,3074,0.3029,0.3187,4.0,3025.0,271.2142,185.0,280.1648,3.1031,15.4097,97.0,228.0,0.005,0.0703,0.017,0.0684,0.0253,0.0932,6.2271,0.0001
bank,duration,3074,0.2583,0.3061,4.0,3025.0,272.3325,190.5,276.9889,3.0591,14.837,98.5,220.25,0.0015,0.0628,0.0212,0.0685,0.0315,0.0928,6.2466,0.0001
bank,duration,3074,0.1965,0.2919,4.0,3025.0,267.8324,189.0,263.9992,2.8359,13.0687,98.0,226.0,0.0038,0.0467,0.0194,0.0624,0.0248,0.0846,6.2666,0.0001
bank,duration,3074,0.1539,0.2845,4.0,3025.0,269.8712,185.0,271.2007,2.9901,14.6287,97.0,226.0,0.0131,0.0552,0.0179,0.0706,0.0264,0.0951,6.2767,0.0001
bank,duration,3074,0.1054,0.2698,4.0,3025.0,267.5273,187.0,265.7987,2.9822,14.8653,98.0,226.0,0.004,0.0667,0.0303,0.0779,0.0392,0.1054,6.2811,0.0001
bank,duration,3074,0.0481,0.2601,4.0,3025.0,267.191,185.0,269.0359,3.0025,14.627,97.0,225.0,0.003,0.0673,0.0265,0.0728,0.0348,0.0985,6.2905,0.0001
bank,previous,3074,0.4993,0.0104,0.0,23.0,0.5874,0.0,1.6937,4.9643,37.3918,0.0,0.0,0.0119,0.6066,0.0259,0.8972,0.0324,0.984,0.8565,0.4123
bank,previous,3074,0.4652,0.0103,0.0,22.0,0.5182,0.0,1.6453,5.5225,43.4745,0.0,0.0,0.009,0.5719,0.0043,0.9082,0.0052,0.9874,0.7784,0.3638
bank,previous,3074,0.404,0.0098,0.0,23.0,0.5508,0.0,1.6473,5.3853,42.8831,0.0,0.0,0.0297,0.5781,0.0016,0.8983,0.0017,0.9844,0.8296,0.3236
bank,previous,3074,0.3562,0.0081,0.0,18.0,0.5144,0.0,1.504,4.6892,30.7227,0.0,0.0,0.0319,0.6244,0.0229,0.9087,0.0287,0.9869,0.7992,0.4131
bank,previous,3074,0.3029,0.0079,0.0,23.0,0.518,0.0,1.5946,5.6431,49.3708,0.0,0.0,0.005,0.5951,0.0108,0.9088,0.0135,0.9871,0.7911,0.3647
bank,previous,3074,0.2583,0.007,0.0,18.0,0.5232,0.0,1.4845,4.5098,28.8743,0.0,0.0,0.01,0.6204,0.0049,0.9037,0.0061,0.9857,0.8141,0.4136
bank,previous,3074,0.1965,0.0077,0.0,23.0,0.5498,0.0,1.6506,5.4488,44.794,0.0,0.0,0.0287,0.6093,0.0096,0.9055,0.0121,0.9861,0.8214,0.2901
bank,previous,3074,0.1539,0.0069,0.0,23.0,0.5409,0.0,1.6231,5.3874,44.6094,0.0,0.0,0.0072,0.6225,0.0016,0.9079,0.0022,0.9867,0.8125,0.3245
bank,previous,3074,0.1054,0.0065,0.0,22.0,0.5295,0.0,1.5691,4.9848,36.2212,0.0,0.0,0.0163,0.6069,0.0018,0.9056,0.0024,0.9862,0.8105,0.3246
bank,previous,3074,0.0481,0.0062,0.0,23.0,0.5178,0.0,1.5339,5.3643,46.1259,0.0,0.0,0.0058,0.6194,0.0058,0.9068,0.0071,0.9865,0.8024,0.3248
bank,pdays,3074,0.4993,0.1202,-1.0,871.0,41.8259,-1.0,100.6017,2.6635,8.3228,0.0,0.0,0.0011,0.6066,0.0299,0.8972,0.0383,0.984,1.4622,0.0026
bank,pdays,3074,0.4652,0.1058,-1.0,804.0,36.7117,-1.0,96.581,2.8885,9.066,0.0,0.0,0.0158,0.5719,0.0074,0.9082,0.0091,0.9874,1.3011,0.003
bank,pdays,3074,0.404,0.107,-1.0,871.0,40.5284,-1.0,99.6133,2.6761,7.8984,0.0,0.0,0.0068,0.5781,0.0077,0.8983,0.0097,0.9844,1.4361,0.0023
bank,pdays,3074,0.3562,0.0995,-1.0,871.0,38.7863,-1.0,98.2667,2.7638,8.3881,0.0,0.0,0.0032,0.6244,0.0171,0.9087,0.0217,0.9869,1.3828,0.0023
bank,pdays,3074,0.3029,0.0933,-1.0,871.0,38.3318,-1.0,98.3897,2.7748,8.2511,0.0,0.0,0.0036,0.5951,0.0137,0.9088,0.0174,0.9871,1.3595,0.0023
bank,pdays,3074,0.2583,0.0965,-1.0,871.0,40.3842,-1.0,100.8547,2.7682,8.6824,0.0,0.0,0.0096,0.6204,0.0093,0.9037,0.0117,0.9857,1.4286,0.0019
bank,pdays,3074,0.1965,0.0923,-1.0,871.0,39.5911,-1.0,98.6587,2.7369,8.4311,0.0,0.0,0.0038,0.6093,0.0051,0.9055,0.0066,0.9861,1.4318,0.0018
bank,pdays,3074,0.1539,0.0877,-1.0,871.0,39.1907,-1.0,98.1665,2.6582,7.3668,0.0,0.0,0.0014,0.6225,0.0006,0.9079,0.0008,0.9867,1.4102,0.0018
bank,pdays,3074,0.1054,0.0862,-1.0,871.0,39.2745,-1.0,98.4782,2.6939,7.7913,0.0,0.0,0.004,0.6069,0.0017,0.9056,0.0021,0.9862,1.4222,0.0016
bank,pdays,3074,0.0481,0.0848,-1.0,871.0,39.3076,-1.0,99.2625,2.748,8.2683,0.0,0.0,0.0059,0.6194,0.0086,0.9068,0.0109,0.9865,1.4201,0.0015
cancer,Bare_Nuclei,683,0.5081,0.0298,1.0,10.0,3.6845,1.0,3.7083,0.8964,-0.9872,0.0,7.0,0.3344,0.7396,0.4325,0.6812,0.4795,0.7987,1.3878,1.0434
cancer,Bare_Nuclei,683,0.4597,0.0271,1.0,10.0,3.6694,1.0,3.7321,0.9063,-0.9908,0.0,7.0,0.3238,0.7173,0.4174,0.674,0.4684,0.7913,1.3705,0.7471
cancer,Bare_Nuclei,683,0.3939,0.0242,1.0,10.0,3.5072,1.0,3.6161,1.0109,-0.748,0.0,4.0,0.3272,0.7025,0.4483,0.6484,0.506,0.7621,1.3805,1.0303
cancer,Bare_Nuclei,683,0.3133,0.0213,1.0,10.0,3.5309,1.0,3.5954,1.002,-0.7439,0.0,4.0,0.3367,0.7097,0.414,0.6512,0.4641,0.765,1.4188,0.6728
cancer,Bare_Nuclei,683,0.3045,0.0211,1.0,10.0,3.6737,1.0,3.7169,0.9036,-0.9862,0.0,7.0,0.3544,0.7369,0.4335,0.6604,0.4864,0.7691,1.3974,1.0289
cancer,Bare_Nuclei,683,0.2855,0.0205,1.0,10.0,3.5799,1.0,3.6234,0.9714,-0.8134,0.0,5.0,0.307,0.6913,0.4087,0.6324,0.4597,0.745,1.417,1.0098
cancer,Bare_Nuclei,683,0.2094,0.0185,1.0,10.0,3.5204,1.0,3.6313,0.9993,-0.7831,0.0,5.0,0.3424,0.7146,0.4183,0.6669,0.4671,0.7751,1.382,0.97
cancer,Bare_Nuclei,683,0.1464,0.0172,1.0,10.0,3.5403,1.0,3.6382,0.9936,-0.7888,0.0,5.0,0.3364,0.7143,0.4236,0.6583,0.4739,0.7709,1.3876,0.6194
cancer,Bare_Nuclei,683,0.1142,0.0165,1.0,10.0,3.4876,1.0,3.6083,1.0181,-0.7337,0.0,4.0,0.3363,0.7106,0.4204,0.6615,0.469,0.7726,1.3764,1.0072
cancer,Bare_Nuclei,683,0.0483,0.0154,1.0,10.0,3.56,1.0,3.6413,0.9768,-0.8214,0.0,5.75,0.3354,0.7142,0.4307,0.6575,0.4814,0.7685,1.3952,1.0182
cancer,Uniformity_of_Cell_Shape,683,0.5081,0.0298,1.0,10.0,3.2976,2.0,2.9802,1.0835,-0.1795,1.0,4.0,0.4159,0.9062,0.4014,0.811,0.452,0.8935,1.7753,0.8918
cancer,Uniformity_of_Cell_Shape,683,0.4597,0.0271,1.0,10.0,3.3875,2.0,3.0796,1.04,-0.3293,1.0,4.0,0.4397,0.9092,0.4143,0.8218,0.4699,0.9014,1.7791,0.9182
cancer,Uniformity_of_Cell_Shape,683,0.3939,0.0242,1.0,10.0,3.1087,1.0,3.0057,1.2319,0.1013,0.0,3.0,0.4954,0.8935,0.4896,0.8099,0.5482,0.8885,1.6392,0.9932
cancer,Uniformity_of_Cell_Shape,683,0.3133,0.0213,1.0,10.0,3.2857,2.0,3.0123,1.1006,-0.1513,1.0,4.0,0.4573,0.9177,0.4253,0.8208,0.4796,0.8975,1.7448,0.9576
cancer,Uniformity_of_Cell_Shape,683,0.3045,0.0211,1.0,10.0,3.3074,1.0,3.0974,1.0987,-0.2323,0.0,4.0,0.4576,0.9121,0.4424,0.8225,0.5002,0.8986,1.7155,0.9463
cancer,Uniformity_of_Cell_Shape,683,0.2855,0.0205,1.0,10.0,3.3566,2.0,3.0722,1.0822,-0.2448,1.0,4.0,0.4404,0.9008,0.4235,0.8116,0.4819,0.892,1.774,0.9385
cancer,Uniformity_of_Cell_Shape,683,0.2094,0.0185,1.0,10.0,3.1833,1.0,2.9655,1.1736,0.0255,0.0,4.0,0.4546,0.9072,0.4116,0.8066,0.4635,0.8836,1.7175,0.9284
cancer,Uniformity_of_Cell_Shape,683,0.1464,0.0172,1.0,10.0,3.1338,1.0,2.9237,1.1948,0.0961,0.0,4.0,0.4572,0.9025,0.4271,0.8095,0.4796,0.8875,1.7014,0.943
cancer,Uniformity_of_Cell_Shape,683,0.1142,0.0165,1.0,10.0,3.2645,1.0,3.0227,1.1203,-0.1363,0.0,4.0,0.4394,0.9116,0.4213,0.8208,0.4759,0.8974,1.7385,0.9428
cancer,Uniformity_of_Cell_Shape,683,0.0483,0.0154,1.0,10.0,3.1985,1.0,2.9855,1.1666,-0.0019,0.0,4.0,0.4349,0.9052,0.4261,0.8191,0.4811,0.8966,1.714,0.96
cancer,Uniformity_of_Cell_Size,683,0.5081,0.0298,1.0,10.0,3.2113,1.0,3.089,1.1563,-0.123,0.0,4.0,0.3932,0.9062,0.4204,0.811,0.4702,0.8935,1.6553,0.9458
cancer,Uniformity_of_Cell_Size,683,0.4597,0.0271,1.0,10.0,3.3686,1.0,3.1904,1.0593,-0.3695,0.0,4.0,0.4526,0.9092,0.4391,0.8218,0.4924,0.9014,1.6509,0.9845
cancer,Uniformity_of_Cell_Size,683,0.3939,0.0242,1.0,10.0,3.1135,1.0,3.1028,1.2433,0.0592,0.0,4.0,0.5042,0.8935,0.5144,0.8099,0.573,0.8885,1.5694,0.9808
cancer,Uniformity_of_Cell_Size,683,0.3133,0.0213,1.0,10.0,3.1791,1.0,3.0806,1.2099,0.0182,0.0,4.0,0.458,0.9177,0.4503,0.8208,0.5042,0.8975,1.6395,0.97
cancer,Uniformity_of_Cell_Size,683,0.3045,0.0211,1.0,10.0,3.2147,1.0,3.114,1.1824,-0.0586,0.0,4.0,0.4664,0.9121,0.4683,0.8225,0.5245,0.8986,1.6256,0.9992
cancer,Uniformity_of_Cell_Size,683,0.2855,0.0205,1.0,10.0,3.2971,1.0,3.1687,1.1157,-0.2539,0.0,4.0,0.4778,0.9008,0.4713,0.8116,0.528,0.892,1.6427,0.9699
cancer,Uniformity_of_Cell_Size,683,0.2094,0.0185,1.0,10.0,3.1056,1.0,3.0347,1.2488,0.1417,0.0,4.0,0.4752,0.9072,0.4546,0.8066,0.5059,0.8836,1.6032,0.9882
cancer,Uniformity_of_Cell_Size,683,0.1464,0.0172,1.0,10.0,3.072,1.0,2.9931,1.2657,0.2098,0.0,3.5,0.4761,0.9025,0.465,0.8095,0.5186,0.8875,1.609,0.98
cancer,Uniformity_of_Cell_Size,683,0.1142,0.0165,1.0,10.0,3.1835,1.0,3.0927,1.1862,-0.0489,0.0,4.0,0.4632,0.9116,0.4618,0.8208,0.5162,0.8974,1.6255,0.9674
cancer,Uniformity_of_Cell_Size,683,0.0483,0.0154,1.0,10.0,3.1415,1.0,3.0637,1.2302,0.0789,0.0,4.0,0.4547,0.9052,0.4597,0.8191,0.5141,0.8966,1.6188,0.9763
cancer,Bland_Chromatin,683,0.5081,0.0298,1.0,10.0,3.4464,3.0,2.4428,1.0626,0.0853,1.0,3.0,0.2567,0.7456,0.3151,0.6148,0.366,0.7391,1.9444,0.8521
cancer,Bland_Chromatin,683,0.4597,0.0271,1.0,10.0,3.5881,3.0,2.5457,1.059,-0.0105,1.0,3.0,0.3141,0.7414,0.3159,0.5961,0.3692,0.7204,1.9315,0.6886
cancer,Bland_Chromatin,683,0.3939,0.0242,1.0,10.0,3.3961,3.0,2.4579,1.086,0.1088,1.0,3.0,0.3422,0.7764,0.3647,0.6097,0.4286,0.7289,1.9194,0.7921
cancer,Bland_Chromatin,683,0.3133,0.0213,1.0,10.0,3.4371,3.0,2.4431,1.1254,0.2845,1.0,2.0,0.3647,0.7539,0.3501,0.6091,0.4061,0.7296,1.9195,0.7766
cancer,Bland_Chromatin,683,0.3045,0.0211,1.0,10.0,3.4758,3.0,2.4702,1.0648,0.0724,1.0,3.0,0.3321,0.7431,0.3394,0.5898,0.3968,0.7142,1.9173,0.9156
cancer,Bland_Chromatin,683,0.2855,0.0205,1.0,10.0,3.5328,3.0,2.4593,1.0562,0.0968,1.0,3.0,0.3376,0.7649,0.3368,0.6114,0.3935,0.7319,1.959,0.7863
cancer,Bland_Chromatin,683,0.2094,0.0185,1.0,10.0,3.4056,3.0,2.3891,1.0776,0.1267,1.0,2.0,0.3518,0.745,0.3232,0.5988,0.3746,0.7183,1.8978,0.939
cancer,Bland_Chromatin,683,0.1464,0.0172,1.0,10.0,3.4048,3.0,2.4363,1.1305,0.276,1.0,2.0,0.3495,0.7402,0.3317,0.5858,0.3853,0.7068,1.9111,0.9388
cancer,Bland_Chromatin,683,0.1142,0.0165,1.0,10.0,3.4645,3.0,2.4725,1.0714,0.0731,1.0,3.0,0.3654,0.759,0.3412,0.5984,0.3958,0.7188,1.9191,0.7951
cancer,Bland_Chromatin,683,0.0483,0.0154,1.0,10.0,3.4262,3.0,2.4182,1.0875,0.1594,1.0,3.0,0.3371,0.7509,0.3363,0.602,0.3909,0.7219,1.9119,0.8307
default of credit card clients,x6,30000,0.502,0.0007,-2.0,8.0,-0.0153,0.0,1.1334,0.715,2.4899,1.0,1.0,0.0256,0.6768,0.0156,0.6093,0.0191,0.635,1.4429,0.9039
default of credit card clients,x6,30000,0.4481,0.0007,-2.0,8.0,-0.0265,0.0,1.1174,0.6982,2.5811,1.0,1.0,0.0123,0.6747,0.0136,0.6084,0.0148,0.6326,1.4314,0.9052
default of credit card clients,x6,30000,0.3998,0.0006,-2.0,8.0,-0.0111,0.0,1.1268,0.7718,2.9327,1.0,1.0,0.0146,0.6714,0.0158,0.601,0.0197,0.6256,1.4342,0.9042
default of credit card clients,x6,30000,0.3471,0.0006,-2.0,8.0,-0.0145,0.0,1.1214,0.7257,2.6686,1.0,1.0,0.0154,0.6677,0.0144,0.5988,0.0193,0.623,1.4349,0.9047
default of credit card clients,x6,30000,0.3004,0.0005,-2.0,8.0,-0.0101,0.0,1.1289,0.8169,3.244,1.0,1.0,0.0158,0.6709,0.0138,0.598,0.0185,0.6221,1.4376,0.9018
default of credit card clients,x6,30000,0.2442,0.0005,-2.0,8.0,-0.0132,0.0,1.1239,0.6998,2.4336,1.0,1.0,0.017,0.6702,0.0186,0.6016,0.0204,0.6263,1.4403,0.9043
default of credit card clients,x6,30000,0.1986,0.0005,-2.0,8.0,-0.0124,0.0,1.121,0.6892,2.4159,1.0,1.0,0.0205,0.6698,0.0192,0.6002,0.024,0.6247,1.4377,0.9053
default of credit card clients,x6,30000,0.1535,0.0004,-2.0,8.0,-0.0161,0.0,1.1238,0.7351,2.7206,1.0,1.0,0.0168,0.6702,0.0182,0.6002,0.0207,0.6242,1.4374,0.9047
default of credit card clients,x6,30000,0.1014,0.0004,-2.0,8.0,-0.0137,0.0,1.1228,0.7281,2.7333,1.0,1.0,0.0222,0.673,0.0184,0.6029,0.0247,0.6276,1.4356,0.905
default of credit card clients,x6,30000,0.0497,0.0004,-2.0,8.0,-0.0168,0.0,1.1204,0.7071,2.5737,1.0,1.0,0.0224,0.6695,0.0192,0.6016,0.0255,0.6261,1.4356,0.9052
default of credit card clients,x7,30000,0.502,0.0007,-2.0,8.0,-0.1282,0.0,1.2019,0.7799,1.4719,0.0,1.0,0.0018,0.7689,0.0035,0.7639,0.0045,0.8,1.279,0.9079
default of credit card clients,x7,30000,0.4481,0.0007,-2.0,8.0,-0.1388,0.0,1.1888,0.7669,1.5512,0.0,1.0,0.0135,0.7632,0.0029,0.7623,0.0039,0.7986,1.2709,0.9065
default of credit card clients,x7,30000,0.3998,0.0006,-2.0,8.0,-0.1281,0.0,1.1982,0.8127,1.7066,0.0,1.0,0.0071,0.7686,0.0004,0.7634,0.0006,0.7994,1.275,0.9076
default of credit card clients,x7,30000,0.3471,0.0006,-2.0,8.0,-0.1335,0.0,1.1975,0.8082,1.6648,0.0,1.0,0.01,0.7735,0.0018,0.7693,0.0024,0.8049,1.2776,0.9081
default of credit card clients,x7,30000,0.3004,0.0005,-2.0,8.0,-0.1268,0.0,1.2032,0.8312,1.8036,0.0,1.0,0.0118,0.7664,0.0036,0.7603,0.0048,0.7964,1.2798,0.9078
default of credit card clients,x7,30000,0.2442,0.0005,-2.0,8.0,-0.1364,0.0,1.1953,0.7787,1.4428,0.0,1.0,0.0088,0.7673,0.0025,0.7654,0.0033,0.8016,1.2796,0.9084
default of credit card clients,x7,30000,0.1986,0.0005,-2.0,8.0,-0.1338,0.0,1.195,0.7643,1.4159,0.0,1.0,0.0111,0.7669,0.0025,0.7639,0.0034,0.8001,1.2784,0.9084
default of credit card clients,x7,30000,0.1535,0.0004,-2.0,8.0,-0.1348,0.0,1.199,0.7853,1.5449,0.0,1.0,0.0115,0.7669,0.0054,0.7634,0.0072,0.7997,1.2788,0.9079
default of credit card clients,x7,30000,0.1014,0.0004,-2.0,8.0,-0.1312,0.0,1.1961,0.7865,1.5761,0.0,1.0,0.0128,0.765,0.0047,0.7624,0.0062,0.7984,1.2755,0.9081
default of credit card clients,x7,30000,0.0497,0.0004,-2.0,8.0,-0.1323,0.0,1.1963,0.7792,1.4996,0.0,1.0,0.0109,0.7651,0.0043,0.7621,0.0057,0.7982,1.2766,0.9083
default of credit card clients,x8,30000,0.502,0.0007,-2.0,8.0,-0.1559,0.0,1.2004,0.8019,1.8536,0.0,1.0,0.0008,0.7758,0.0042,0.7645,0.0055,0.8,1.2643,1.1093
default of credit card clients,x8,30000,0.4481,0.0007,-2.0,8.0,-0.1707,0.0,1.1984,0.8589,2.2919,0.0,1.0,0.0021,0.7809,0.0061,0.7667,0.008,0.8021,1.2618,0.9074
